timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1684772115841,4,Main Catalog,200,OK,Thread Group 1-9,text,true,,5762,399,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1684772115952,2,Sign In,200,OK,Thread Group 1-4,text,true,,3921,545,22,22,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,2,0,0
1684772116002,2,Home,200,OK,Thread Group 1-16,text,true,,1497,253,22,22,http://localhost:8080/jpetstore/,1,0,0
1684772116002,1,Home-0,302,Found,Thread Group 1-16,,true,,146,126,22,22,http://localhost:8080/jpetstore,1,0,0
1684772116003,1,Home-1,200,OK,Thread Group 1-16,text,true,,1351,127,22,22,http://localhost:8080/jpetstore/,1,0,0
1684772116153,3,Home,200,OK,Thread Group 1-18,text,true,,1497,253,22,22,http://localhost:8080/jpetstore/,2,0,1
1684772116153,2,Home-0,302,Found,Thread Group 1-18,,true,,146,126,22,22,http://localhost:8080/jpetstore,2,0,1
1684772116155,1,Home-1,200,OK,Thread Group 1-18,text,true,,1351,127,22,22,http://localhost:8080/jpetstore/,1,0,0
1684772116155,2,Main Catalog,200,OK,Thread Group 1-13,text,true,,5762,399,22,22,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684772116279,2,Sign In,200,OK,Thread Group 1-6,text,true,,3925,545,23,23,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,2,0,0
1684772116688,3,Main Catalog,200,OK,Thread Group 1-8,text,true,,5762,399,24,24,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772117010,3,Main Catalog,200,OK,Thread Group 1-10,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772117086,3,Sign In,200,OK,Thread Group 1-7,text,true,,3923,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,3,0,0
1684772117121,2,Main Catalog,200,OK,Thread Group 1-14,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684772117357,2,Sign In,200,OK,Thread Group 1-3,text,true,,3923,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,2,0,0
1684772117793,3,Main Catalog,200,OK,Thread Group 1-11,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772117925,6,Sign In,200,OK,Thread Group 1-5,text,true,,3925,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,6,0,0
1684772117952,3,Home,200,OK,Thread Group 1-19,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,2,0,0
1684772117952,2,Home-0,302,Found,Thread Group 1-19,,true,,146,126,25,25,http://localhost:8080/jpetstore,2,0,0
1684772117954,1,Home-1,200,OK,Thread Group 1-19,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1684772118033,3,Home,200,OK,Thread Group 1-22,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,2,0,0
1684772118033,2,Home-0,302,Found,Thread Group 1-22,,true,,146,126,25,25,http://localhost:8080/jpetstore,2,0,0
1684772118035,1,Home-1,200,OK,Thread Group 1-22,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1684772118075,4,Sign In,200,OK,Thread Group 1-9,text,true,,3925,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,4,0,0
1684772118075,4,Sign In,200,OK,Thread Group 1-12,text,true,,3921,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,4,0,0
1684772118082,2,Main Catalog,200,OK,Thread Group 1-15,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684772118167,6,Home,200,OK,Thread Group 1-20,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,2,0,0
1684772118167,2,Home-0,302,Found,Thread Group 1-20,,true,,146,126,25,25,http://localhost:8080/jpetstore,2,0,0
1684772118169,4,Home-1,200,OK,Thread Group 1-20,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,4,0,0
1684772118233,2,Main Catalog,200,OK,Thread Group 1-17,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,2,0,0
1684772118376,3,Main Catalog,200,OK,Thread Group 1-18,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
1684772118402,3,Sign In,200,OK,Thread Group 1-13,text,true,,3925,545,25,25,http://localhost:8080/jpetstore/actions/Account.action?signonForm=,3,0,0
1684772118421,3,Home,200,OK,Thread Group 1-21,text,true,,1497,253,25,25,http://localhost:8080/jpetstore/,2,0,1
1684772118421,2,Home-0,302,Found,Thread Group 1-21,,true,,146,126,25,25,http://localhost:8080/jpetstore,2,0,1
1684772118423,1,Home-1,200,OK,Thread Group 1-21,text,true,,1351,127,25,25,http://localhost:8080/jpetstore/,1,0,0
1684772118598,5,Login,200,OK,Thread Group 1-1,text,true,,5262,1505,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,4,0,0
1684772118598,4,Login-0,302,Found,Thread Group 1-1,,true,,193,880,25,25,http://localhost:8080/jpetstore/actions/Account.action,4,0,0
1684772118602,1,Login-1,200,OK,Thread Group 1-1,text,true,,5069,625,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,1,0,0
1684772118724,3,Main Catalog,200,OK,Thread Group 1-16,text,true,,5762,399,25,25,http://localhost:8080/jpetstore/actions/Catalog.action,3,0,0
